Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-09-25,109.21675872802734,109.37239714582383,104.73252885742939,105.47179649946621,149981400
2020-09-28,111.82363891601562,112.17381792247089,109.70311378636897,111.87227777517529,137672400
2020-09-29,110.97737121582031,112.16408812965686,110.4715612207209,111.4248279384537,99382200
2020-09-30,112.65044403076172,114.0608892683136,110.52019713326597,110.68555737521241,142675200
2020-10-01,113.60371398925781,114.50834184995564,112.66990578164197,114.430522644009,116120400
2020-10-02,109.93656921386719,112.2224621206602,109.1583993790266,109.81011856378328,144712000
2020-10-05,113.32162475585938,113.46753391146844,110.4521101876222,110.80228919258478,106243800
2020-10-06,110.07275390625,112.9519978108433,109.18757711311163,112.54345067949198,161498200
2020-10-07,111.94036102294922,112.39753955518432,111.01627470298001,111.49291174621311,96849000
2020-10-08,111.83335876464844,113.22434541737783,111.46372127712412,113.07843627342072,83477200
2020-10-09,113.77881622314453,113.80799657332764,111.78474151981321,112.13492056450798,100506900
2020-10-12,121.00608825683594,121.76480690611335,116.02577075981998,116.78448940909738,240226800
2020-10-13,117.79612731933594,121.96908768608209,116.38568943923732,121.85235887523848,262330500
2020-10-14,117.88365936279297,119.67345635227282,116.3564928845694,117.6988406266793,150712000
2020-10-15,117.41678619384766,117.89341592495558,114.92663054581534,115.48107949623657,112559200
2020-10-16,115.77286529541016,118.23384747833158,115.56859545500912,117.97120952549623,115393800
2020-10-19,112.8158187866211,117.13468096654279,112.50454937346234,116.68723164895509,120639300
2020-10-20,114.3040771484375,115.73397358180452,112.4753628325675,113.02981171272529,124423700
2020-10-21,113.68152618408203,115.47132328298426,113.27297908868262,113.48697818121386,89946000
2020-10-22,112.59207916259766,114.81960369273567,111.46372301440654,114.24569636322538,101988000
2020-10-23,111.9014663696289,113.37027245377989,111.16219869915412,113.21463402999635,82572600
2020-10-26,111.91117858886719,113.37025519408711,109.80037545983436,110.89955125203169,111850700
2020-10-27,113.4189224243164,114.08037099095905,111.41512562886206,112.33920480198428,92276800
2020-10-28,108.16621398925781,112.28081345722651,108.06894369566764,111.9111833730848,143937800
2020-10-29,112.17382049560547,113.73989680449655,109.13893817712592,109.30430584931332,146129200
2020-10-30,105.89006805419922,108.93467231945372,104.78117027471363,108.03004440237355,190272600
2020-11-02,105.80250549316406,107.66039994190102,104.39206773628062,106.13323338437135,122866900
2020-11-03,107.42694854736328,108.44829771179337,105.76360211850799,106.66822990485883,107624400
2020-11-04,111.81390380859375,112.43644258276989,109.28483911084726,111.02600479592498,138235500
2020-11-05,115.78260040283203,116.35650777308182,113.68153378019652,114.73206338089028,126387100
2020-11-06,115.65106201171875,116.14799861229584,113.15660323122867,115.2905328204704,114457900
2020-11-09,113.34175872802734,118.86658305865835,113.07867504116268,117.41473489132933,154515300
2020-11-10,113.00071716308594,114.57923409087746,111.20782446930689,112.59147258432904,138023400
2020-11-11,116.4305648803711,116.56697971266742,113.45866182357159,114.18945875403799,112295000
2020-11-12,116.15773010253906,117.44393234617952,115.53411734404979,116.55723597528558,103162300
2020-11-13,116.20648193359375,116.60598047220772,114.85207193805832,116.38187353041393,81581900
2020-11-16,117.21983337402344,117.89216151069154,115.12488063733073,115.87516223258528,91183000
2020-11-17,116.3331298828125,117.58035548799745,115.91413933412841,116.48903680048612,74271000
2020-11-18,115.00798034667969,116.75215040719499,114.97874965062375,115.5731319172707,76322100
2020-11-19,115.60234832763672,116.01159288995271,113.81920174805022,114.57922948779476,74113000
2020-11-20,114.33560180664062,115.72898812484998,114.28688647613198,115.60231934466736,73604300
2020-11-23,110.93497467041016,114.60845147390663,110.83753656463605,114.17971488763942,127959300
2020-11-24,112.22118377685547,112.88377334383199,109.70724035208704,110.99345018861624,113874200
2020-11-25,113.05915832519531,113.760724582734,112.22117723247423,112.59145244287018,76499200
2020-11-27,113.6048355102539,114.48179346992426,113.24431371809374,113.58535085961773,46691300
2020-11-30,116.0018539428711,117.87269259432198,113.81920141545976,113.97510835343999,169410200
2020-12-01,119.57786560058594,120.30866252291607,116.93725361331916,117.91164950975933,127728200
2020-12-02,119.92865753173828,120.21123325455888,117.79472798281287,118.89579275045067,89004200
2020-12-03,119.79226684570312,120.61075605555949,119.08095437461604,120.357410971248,78967600
2020-12-04,119.1198959350586,119.71427801461196,118.40858367403467,119.46093300511777,78260400
2020-12-07,120.58151245117188,121.38051692318322,119.11991836085464,119.17837974557071,86712000
2020-12-08,121.19535827636719,121.78000175835267,119.93838668457948,121.18561966997126,82225500
2020-12-09,118.66194915771484,122.72517888074941,117.90192143214601,121.34153828117272,115089200
2020-12-10,120.08454895019531,120.69842312660181,117.07366917962338,117.4147062587099,81312200
2020-12-11,119.27581024169922,119.61684733291102,117.46343320377245,119.29529488946088,86939800
2020-12-14,118.66194915771484,120.19175065083598,118.42809618847487,119.46095361716566,79184500
2020-12-15,124.60575103759766,124.62524311960807,120.95176623601054,121.15638849281328,157243700
2020-12-16,124.53754425048828,125.0832036047306,123.31954931044656,124.14779181691584,98208600
2020-12-17,125.40477752685547,126.26225086926766,124.76167252004633,125.59965377701147,94359800
2020-12-18,123.41698455810547,125.79451286164254,122.89080989581198,125.65809803446096,192541500
2020-12-21,124.9468002319336,125.02475369942195,120.28918834325576,121.81898983096859,121251600
2020-12-22,128.5032958984375,130.9685155657219,126.3303830153395,128.24020492457288,168904800
2020-12-23,127.60689544677734,129.0392437617865,127.43149645083432,128.77616757002454,88223700
2020-12-24,128.59104919433594,130.04290467587725,127.74332938014881,127.95769770274158,54930100
2020-12-28,133.19020080566406,133.82355230210814,130.09161358052606,130.55933439782117,124486200
2020-12-29,131.41677856445312,135.23640894920797,130.90034989432698,134.5153654533124,121047300
2020-12-30,130.2962646484375,132.50814824653503,129.98445071914335,132.10864222516685,96452100
2020-12-31,129.29258728027344,131.29010173967114,128.34742211950626,130.64699691249126,99116600
2021-01-04,126.09658813476562,130.18904830293448,123.51443728468345,130.1013562325265,143301900
2021-01-05,127.65560913085938,128.36692888537684,125.14166577453908,125.58989445727471,97664900
2021-01-06,123.35853576660156,127.69460255545032,123.14416745080455,124.44986199518105,155088000
2021-01-07,127.56793975830078,128.25976755366722,124.58628997465583,125.07348804043062,109578200
2021-01-08,128.66897583007812,129.23412721104498,126.8955682344821,129.03923614525579,105158200
2021-01-11,125.6775894165039,126.8371230123308,125.20988350887804,125.88221911439801,100384500
2021-01-12,125.5022201538086,126.36943208463073,123.6118893484401,125.20989835135185,91951100
2021-01-13,127.5386962890625,128.08435568917824,125.20015175482261,125.4632279789547,88636800
2021-01-14,125.60936737060547,127.64585104411022,125.46319907832084,127.45097485583084,90221800
2021-01-15,123.88468933105469,126.88583037094017,123.74827450506447,125.48269795041179,111598500
2021-01-19,124.5570297241211,125.41450287420925,123.68981796754613,124.508306955484,90757300
2021-01-20,128.6495361328125,129.09776495129427,125.25864133442315,125.36582551700964,104319500
2021-01-21,133.3655548095703,136.09386615455463,130.16953762113462,130.37416729095122,120150900
2021-01-22,135.50924682617188,136.26927444924834,131.56294040290453,132.7906739013892,114459400
2021-01-25,139.26065063476562,141.3750878076961,133.04400046392547,139.40681893054085,157611700
2021-01-26,139.4945526123047,140.60536359839995,137.75037522505468,139.92328928555284,98390600
2021-01-27,138.42266845703125,140.60532045654497,136.81492129375977,139.75758597887605,140843800
2021-01-28,133.57994079589844,138.35448999967483,133.19992695994156,135.9477307492471,142621100
2021-01-29,128.58131408691406,133.2389261898638,126.8761209359315,132.35222218300783,177523800
2021-02-01,130.70547485351562,131.91373120913244,127.5776572470742,130.32546101984542,106239800
2021-02-02,131.53367614746094,132.81987069362117,131.1634010370355,132.25471942384996,83305400
2021-02-03,130.51058959960938,132.2937358859012,130.189037167514,132.28398241128824,89880900
2021-02-04,133.8722686767578,133.8820072844467,131.14395684543172,132.8101805826387,84183100
2021-02-05,133.45750427246094,134.10157011842293,132.57924349365368,134.03326822644928,75693800
2021-02-08,133.60389709472656,133.65269267140306,131.66194630942968,132.7451425942424,71297200
2021-02-09,132.72561645507812,134.55046970081816,132.56949146196018,133.32088673165194,76774200
2021-02-10,132.12062072753906,133.68199010871433,131.15452174777565,133.1842959871747,73046600
2021-02-11,131.8668975830078,133.09646585492624,130.5397381460376,132.61829297068624,64280000
2021-02-12,132.10108947753906,132.25722938185646,130.4616651531689,131.10573109073752,60145100
2021-02-16,129.9737091064453,132.7256035555492,129.58335943579118,132.21817131917496,80576300
2021-02-17,127.68046569824219,129.02714615555675,126.34355329024206,128.0805685718384,97918500
2021-02-18,126.5777587890625,126.86074929343846,124.33329640042257,126.08006478126129,96856700
2021-02-19,126.73390197753906,127.55362902270863,125.68974801869315,127.09497736433161,87668800
2021-02-22,122.95736694335938,126.58753801577001,122.56702460688798,124.91882434122574,103916400
2021-02-23,122.82073974609375,123.65021250049017,115.53112373320839,120.77145192783192,158273000
2021-02-24,122.32305145263672,122.52797948716125,119.27839785951765,121.92295598861077,111039900
2021-02-25,118.06834411621094,123.40625632255099,117.62921364696236,121.66924076662798,148199500
2021-02-26,118.3318099975586,121.83511493787971,118.27325381762451,119.62968743773787,164560400
2021-03-01,124.7041244506836,124.8407431312115,119.82486458851659,120.7616815886335,116307900
2021-03-02,122.09861755371094,125.6116836281733,121.99127322699131,125.3091718593238,102260900
2021-03-03,119.11249542236328,122.67435679168018,118.89780678629857,121.79608848285189,112966300
2021-03-04,117.2291030883789,120.61531086428089,115.75557186593713,118.80998607618001,178155000
2021-03-05,118.48796844482422,118.99541574144496,114.73093908727515,118.05859855363883,153766600
